Index,GPS time,CoG,Lat,Lon,VX,VY,VZ
0,,,29.18853467,-81.04548000,,,
1,2330:340424.084,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
2,2330:340424.227,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
3,2330:340424.370,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
4,2330:340424.513,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
5,2330:340424.656,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
6,2330:340424.799,262.06,29.18853467,-81.04548000,0.01,0.00,-0.00
7,2330:340424.942,262.06,29.18853467,-81.04548000,-0.01,0.00,-0.00
8,2330:340425.085,262.06,29.18853467,-81.04548000,0.01,0.01,0.00
9,2330:340425.228,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.00
10,2330:340425.371,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
11,2330:340425.514,262.06,29.18853467,-81.04548000,0.01,-0.00,0.01
12,2330:340425.657,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
13,2330:340425.800,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
14,2330:340425.943,262.06,29.18853467,-81.04548000,0.01,0.01,0.01
15,2330:340426.086,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
16,2330:340426.229,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
17,2330:340426.372,262.06,29.18853467,-81.04548000,0.00,-0.02,0.01
18,2330:340426.515,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
19,2330:340426.658,262.06,29.18853467,-81.04548000,-0.00,-0.00,-0.00
20,2330:340426.801,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
21,2330:340426.944,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
22,2330:340427.087,262.06,29.18853467,-81.04548000,0.00,0.01,-0.00
23,2330:340427.230,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
24,2330:340427.373,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
25,2330:340427.516,262.06,29.18853467,-81.04548000,0.00,-0.01,0.01
26,2330:340427.659,262.06,29.18853467,-81.04548000,0.00,-0.01,0.01
27,2330:340427.802,262.06,29.18853467,-81.04548000,0.01,0.00,-0.00
28,2330:340427.945,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
29,2330:340428.088,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
30,2330:340428.231,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
31,2330:340428.374,262.06,29.18853467,-81.04548000,0.00,-0.01,0.00
32,2330:340428.517,262.06,29.18853467,-81.04548000,0.00,0.00,0.00
33,2330:340428.660,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
34,2330:340428.803,262.06,29.18853467,-81.04548000,-0.00,0.00,-0.00
35,2330:340428.946,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
36,2330:340429.089,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
37,2330:340429.232,262.06,29.18853467,-81.04548000,0.01,0.01,0.01
38,2330:340429.375,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
39,2330:340429.518,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
40,2330:340429.661,262.06,29.18853467,-81.04548000,0.00,-0.00,0.01
41,2330:340429.804,262.06,29.18853467,-81.04548000,0.01,-0.00,0.00
42,2330:340429.947,262.06,29.18853467,-81.04548000,-0.00,0.01,-0.00
43,2330:340430.090,262.06,29.18853467,-81.04548000,-0.00,0.01,0.01
44,2330:340430.233,262.06,29.18853467,-81.04548000,0.00,-0.00,-0.01
45,2330:340430.376,262.06,29.18853467,-81.04548000,0.01,0.01,0.01
46,2330:340430.519,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
47,2330:340430.662,262.06,29.18853467,-81.04548000,0.01,0.00,0.01
48,2330:340430.805,262.06,29.18853467,-81.04548000,-0.00,0.00,0.00
49,2330:340430.948,262.06,29.18853467,-81.04548000,0.00,0.00,-0.00
50,2330:340431.091,262.06,29.18853467,-81.04548000,0.00,0.01,0.00
51,2330:340431.234,262.06,29.18853467,-81.04548000,0.01,-0.00,-0.01
52,2330:340431.377,262.06,29.18853467,-81.04548000,0.01,-0.01,0.02
53,2330:340431.520,262.06,29.18853467,-81.04548000,-0.01,-0.01,0.00
54,2330:340431.663,262.06,29.18853467,-81.04548000,0.01,0.00,0.00
55,2330:340431.806,262.06,29.18853467,-81.04548000,0.00,0.01,0.01
56,2330:340431.949,262.06,29.18853467,-81.04548000,0.00,-0.00,0.00
