Index,GPS time,CoG,Lat,Lon,VX,VY,VZ,relPosHeading
0,2330:340448.823,199.25,0.00000000,0.00000000,0.00,0.01,0.01,307.56550
1,2330:340448.966,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.59504
2,2330:340449.109,199.25,0.00000000,0.00000000,0.00,0.00,0.01,307.56168
3,2330:340449.252,199.25,0.00000000,0.00000000,0.00,0.00,0.01,307.56472
4,2330:340449.395,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.56904
5,2330:340449.538,199.25,0.00000000,0.00000000,0.00,0.01,0.01,307.58358
6,2330:340449.681,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.63386
7,2330:340449.824,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.54794
8,2330:340449.967,199.25,0.00000000,0.00000000,0.00,0.01,0.01,307.60916
9,2330:340450.110,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.54862
10,2330:340450.253,199.25,0.00000000,0.00000000,0.00,0.00,0.01,307.59958
11,2330:340450.396,199.25,0.00000000,0.00000000,0.01,0.01,0.00,307.61524
12,2330:340450.539,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.57642
13,2330:340450.682,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.62198
14,2330:340450.825,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.59656
15,2330:340450.968,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.56954
16,2330:340451.111,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.59934
17,2330:340451.254,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.58068
18,2330:340451.397,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.62140
19,2330:340451.540,199.25,0.00000000,0.00000000,0.00,0.01,-0.01,307.63500
20,2330:340451.683,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.64344
21,2330:340451.826,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.58210
22,2330:340451.969,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.60134
23,2330:340452.112,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.58420
24,2330:340452.255,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.62734
25,2330:340452.398,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.63558
26,2330:340452.541,199.25,0.00000000,0.00000000,0.00,0.00,-0.01,307.62314
27,2330:340452.684,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.60272
28,2330:340452.827,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.60236
29,2330:340452.970,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.60608
30,2330:340453.113,199.25,0.00000000,0.00000000,0.00,0.00,0.00,307.61282
31,2330:340453.256,199.25,0.00000000,0.00000000,0.01,0.00,0.00,307.58506
32,2330:340453.399,199.25,0.00000000,0.00000000,0.00,0.01,0.00,307.62228
