GPS time,CoG,Lat,Lon,VX,VY,VZ,relPosHeading
20240904183350,199.25,0.0,0.0,0.0,0.0,0.0,307.59504
20240904183351,199.25,0.0,0.0,0.0,0.0,0.01,307.56168
20240904183351,199.25,0.0,0.0,0.0,0.0,0.01,307.56472
20240904183351,199.25,0.0,0.0,0.0,0.0,0.0,307.56904
20240904183351,199.25,0.0,0.0,0.0,0.01,0.01,307.58358
20240904183351,199.25,0.0,0.0,0.01,0.0,0.0,307.63386
20240904183351,199.25,0.0,0.0,0.0,0.0,0.0,307.54794
20240904183351,199.25,0.0,0.0,0.0,0.01,0.01,307.60916
20240904183352,199.25,0.0,0.0,0.0,0.0,-0.01,307.54862
20240904183352,199.25,0.0,0.0,0.0,0.0,0.01,307.59958
20240904183352,199.25,0.0,0.0,0.01,0.01,0.0,307.61524
20240904183352,199.25,0.0,0.0,0.0,0.0,0.0,307.57642
20240904183352,199.25,0.0,0.0,0.0,0.0,0.0,307.62198
20240904183352,199.25,0.0,0.0,0.0,0.0,0.0,307.59656
20240904183352,199.25,0.0,0.0,0.0,0.0,0.0,307.56954
20240904183353,199.25,0.0,0.0,0.0,0.01,0.0,307.59934
20240904183353,199.25,0.0,0.0,0.0,0.0,0.0,307.58068
20240904183353,199.25,0.0,0.0,0.0,0.01,0.0,307.6214
20240904183353,199.25,0.0,0.0,0.0,0.01,-0.01,307.635
20240904183353,199.25,0.0,0.0,0.0,0.0,0.0,307.64344
20240904183353,199.25,0.0,0.0,0.0,0.01,0.0,307.5821
20240904183353,199.25,0.0,0.0,0.0,0.0,-0.01,307.60134
20240904183354,199.25,0.0,0.0,0.0,0.01,0.0,307.5842
20240904183354,199.25,0.0,0.0,0.0,0.0,0.0,307.62734
20240904183354,199.25,0.0,0.0,0.0,0.01,0.0,307.63558
20240904183354,199.25,0.0,0.0,0.0,0.0,-0.01,307.62314
20240904183354,199.25,0.0,0.0,0.0,0.01,0.0,307.60272
20240904183354,199.25,0.0,0.0,0.0,0.01,0.0,307.60236
20240904183354,199.25,0.0,0.0,0.0,0.0,0.0,307.60608
20240904183355,199.25,0.0,0.0,0.0,0.0,0.0,307.61282
20240904183355,199.25,0.0,0.0,0.01,0.0,0.0,307.58506
20240904183355,199.25,0.0,0.0,0.0,0.01,0.0,307.62228
20240904183355,199.25,0.0,0.0,0.0,0.0,0.0,307.60958
20240904183355,199.25,0.0,0.0,0.0,0.01,0.0,307.6105
20240904183355,199.25,0.0,0.0,0.0,0.0,0.0,307.61096
